"N°","Date debut","Date fin","Emplacement","Campagne","Commune","Zone","Format","Regie","Latitude","Longitude"
"1","11-12-2024","21-12-2024","ABOBO ABOTE FACE HOPITAL GENERAL DIRECTION ","Concert SDM","Abobo","Grand Abidjan","12 M²","SELFIE MEDIA","5.411745","-3.9973082"
"2","11-12-2024","21-12-2024","ABOBO N’DOTRE CARREFOUR SAFIR FACE AGRIPAC","Concert SDM","Abobo","Grand Abidjan","12 M²","SELFIE MEDIA","5.4438314","-4.0570602"
"3","11-12-2024","21-12-2024","ABOBO N’DOTRE CARREFOUR SAFIR FACE ROND POINT N’DOTRE DIR PK 18","Concert SDM","Abobo","Grand Abidjan","12 M²","SELFIE MEDIA","5.443812","-4.055421"
"4","11-12-2024","21-12-2024","ADJAME RENAULT FACE FEU","Concert SDM","Adjame","Grand Abidjan","12 M²","SELFIE MEDIA","5.35593","-4.02095"
"5","11-12-2024","21-12-2024","ADJAME WILLIAM CIVILE CARREFOUR MOSQUEE SENS ALLER CRS","Concert SDM","Adjame","Grand Abidjan","12 M²","SELFIE MEDIA","5.363241","-4.01685"
"6","11-12-2024","21-12-2024","ADJAME RENAULT FACE UTB","Concert SDM","Adjame","Grand Abidjan","12 M²","SELFIE MEDIA","5.352506","-4.021581"
"7","11-12-2024","21-12-2024","ATT-06AS:Attecoube en face de l’église st Joseph pharmacie sebroco sens marché","Concert SDM","Attécoube","Grand Abidjan","12 M²","SELFIE MEDIA","5.3499541","-4.0345475"
"8","11-12-2024","21-12-2024","BINGERVILLE MARCHE DIRECTION MAIRIE LYCEE GARCON","Concert SDM","Bingerville","Grand Abidjan","12 M²","SELFIE MEDIA","5.3561991","-3.882299"
"9","11-12-2024","21-12-2024","COCOCY Montée Dokui face zoo Agban sens aller Dokui","Concert SDM","Cocody","Grand Abidjan","12 M²","SELFIE MEDIA","5.3896235","-4.0055638"
"10","11-12-2024","21-12-2024","Riviera anono en face de la chefferie direction riviera 2","Concert SDM","Cocody","Grand Abidjan","12 M²","SELFIE MEDIA","5.339928","-3.9750496"
"11","11-12-2024","21-12-2024","COCODY MARIE GUIRAUD FACE ST VIATEUR DIR APRES BARES BARRAGE ","Concert SDM","Cocody","Grand Abidjan","12 M²","SELFIE MEDIA","5.3723237","-3.9588423"
"12","11-12-2024","21-12-2024","KOUMASSI GRANDE MOSQUEE DIR KAHIRA","Concert SDM","Cocody","Grand Abidjan","12 M²","SELFIE MEDIA","5.2926535","-3.9665569"
"13","11-12-2024","21-12-2024","Yopougon sortir zone direction BAE","Concert SDM","Cocody","Grand Abidjan","12 M²","SELFIE MEDIA","5.368015","-4.081236"
"14","11-12-2024","21-12-2024","Koumassi Direction hôpital face service technique mairie","Concert SDM","Koumassi","Grand Abidjan","12 M²","SELFIE MEDIA","5.287678","-3.967323"
"15","11-12-2024","21-12-2024","KOUMASSI retour VGE en face du camp commando sens zone ","Concert SDM","Koumassi","Grand Abidjan","12 M²","SELFIE MEDIA","5.283345","-3.965776"
"16","11-12-2024","21-12-2024","Koumassi ligne du 11 inchallah retour kahira dir terminus 11","Concert SDM","Koumassi","Grand Abidjan","12 M²","SELFIE MEDIA","5.299252","-3.953035"
"17","11-12-2024","21-12-2024","KOUMASSI CHEFFERIE, NOUVEAU ESPACE DENOMME ESPACE DES MAQUIS SENS TERMINUS 25","Concert SDM","Koumassi","Grand Abidjan","12 M²","SELFIE MEDIA","5.2955","-3.956065"
"18","11-12-2024","21-12-2024","Bvd du Cameroun au feu Ste Bernadette sens marché marcory","Concert SDM","Marcory","Grand Abidjan","12 M²","SELFIE MEDIA","5.298396","-3.971823"
"19","11-12-2024","21-12-2024","MARCORY anoumambo avant le pont dir pont HKB grand marche marcory","Concert SDM","Marcory","Grand Abidjan","12 M²","SELFIE MEDIA","5.303326","-3.976231"
"20","11-12-2024","21-12-2024","Avenue Nangui Abrogoua sens aller marie d'Adjamé","Concert SDM","Plateau","Grand Abidjan","12 M²","SELFIE MEDIA","5.3383196","-4.0259627"
"21","11-12-2024","21-12-2024","PORT BOUET VRIDI CITE SENS ALLER SIR","Concert SDM","Port-Bouet","Grand Abidjan","12 M²","SELFIE MEDIA","5.257406","-3.98616"
"22","11-12-2024","21-12-2024","yopougon palais sens sideci niangon face koute","Concert SDM","Yopougon","Grand Abidjan","12 M²","SELFIE MEDIA","5.3258019","-4.0757965"
"23","11-12-2024","21-12-2024","YOPOUGON 14 carrefour pharmacie port-bouet","Concert SDM","Yopougon","Grand Abidjan","12 M²","SELFIE MEDIA","5.3467475","-4.0874041"
"24","11-12-2024","21-12-2024","Yopougon sideci saguidiba sens aller carrefour sgci","Concert SDM","Yopougon","Grand Abidjan","12 M²","SELFIE MEDIA","5.3319267","-4.0750755"
"25","11-12-2024","21-12-2024","YOPOUGON RETOUR LUBAFRIQUE SENS  TEXACO","Concert SDM","Yopougon","Grand Abidjan","12 M²","SELFIE MEDIA","5.3271622","-4.0926213"
"26","11-12-2024","21-12-2024","Yopougon palais sens aller terminus 40 face palais de justice","Concert SDM","Yopougon","Grand Abidjan","12 M²","SELFIE MEDIA","5.327952","-4.0766348"
"27","11-12-2024","21-12-2024","YOPOUGON PREMIER PONT FACE CARREFOUR SABLE","Concert SDM","Yopougon","Grand Abidjan","12 M²","SELFIE MEDIA","5.358586","-4.06694"
"28","11-12-2024","21-12-2024","YOPOUGON CARREFOUR ZONE SENS  MACA","Concert SDM","Yopougon","Grand Abidjan","12 M²","SELFIE MEDIA","5.365966","-4.081965"
"29","11-12-2024","21-12-2024","YOPOUGON ANANERAIE MAMIE ADJOUA DIR CHU","Concert SDM","Yopougon","Grand Abidjan","12 M²","SELFIE MEDIA","5.3568147","-4.0921275"
"30","11-12-2024","21-12-2024","Carrefour Sable","Concert SDM","Yopougon","Grand Abidjan","12 M²","SELFIE MEDIA","5.356355","-4.066119"
"31","06-12-2024","05-01-2025","Boulangerie ALBACK face Alepe","Pass data","Abobo","Grand Abidjan","12 M²","QUARTZ","5.427693","-3.989428"
"32","06-12-2024","05-01-2025","cite U face commissariat","Pass data","Abobo","Grand Abidjan","12 M²","QUARTZ","5.4346701","-4.0122797"
"33","06-12-2024","05-01-2025","PK 18 F2 face nouvelle gare axe andokoi - anyama voir près lavage auto avant carrefour agripac","Pass data","Abobo","Grand Abidjan","12 M²","QUARTZ","5.441713","-4.047247"
"34","06-12-2024","05-01-2025","Derrière Rail pharmacie Espérance ","Pass data","Abobo","Grand Abidjan","12 M²","PUBLISTAR","5.424487","-4.023922"
"35","06-12-2024","05-01-2025","Carrefour SAMAKE ","Pass data","Abobo","Grand Abidjan","12 M²","PUBLISTAR","5.4154657","-4.0058927"
"36","06-12-2024","05-01-2025","Cloture lycée moderne Avant Carref,face aux grand marché","Pass data","Abobo","Grand Abidjan","12 M²","MELI’S COM","5.4277326","-4.0145409"
"37","06-12-2024","05-01-2025","Rte marché face rd point de la gendarmerie direction LYMA","Pass data","Abobo","Grand Abidjan","12 M²","MELI’S COM","5.4273125","-4.0178991"
"38","06-12-2024","05-01-2025","Autoroute adjame-abobo a la gare UTD sens aller Abobo","Pass data","Abobo","Grand Abidjan","12 M²","MELI’S COM","5.399444","-4.020387"
"39","06-12-2024","05-01-2025","Clôture ancienne OIPR avant station Shell face Abobo ","Pass data","Abobo","Grand Abidjan","12 M²","MEDIAWAYS","5.394786","-4.021051"
"40","06-12-2024","05-01-2025","Après entrée résidence Adou Mélétchi, au pied de la côte face au grand carrefour","Pass data","Aboisso","Interieur","12 M²","EMERGENCE","5.471997","-3.204065"
"41","06-12-2024","05-01-2025","Entrée ville par noé au niveau de la bananeraie","Pass data","Aboisso","Interieur","12 M²","EMERGENCE","5.463392","-3.205075"
"42","06-12-2024","05-01-2025","Au pied du pont face au Quartier rive gauche et sortie Noé","Pass data","Aboisso","Interieur","12 M²","EMERGENCE","5.4770091989484","-3.2030106384228"
"43","06-12-2024","05-01-2025","Route du marché face à la gare et au grand carrefour","Pass data","Aboisso","Interieur","12 M²","EMERGENCE","5.468117","-3.208155"
"44","06-12-2024","05-01-2025","Entrée de la ville face à Assouba","Pass data","Aboisso","Interieur","12 M²","EMERGENCE","5.466431","-3.218742"
"45","06-12-2024","05-01-2025","Montée sapeurs pompiers indenié, côté Agence CNPS Adjamé","Pass data","Adjame","Grand Abidjan","12 M²","PUBLISTAR","5.3416655","-4.0220063"
"46","06-12-2024","05-01-2025","Route Agban pharmacie Sarah","Pass data","Adjame","Grand Abidjan","12 M²","PUBLISTAR","5.3569828","-4.0158503"
"47","06-12-2024","05-01-2025","Ancienne Gare , 100 mètres CHR , rive opposée à la boulangerie Bo Pain, 100 mètres de la station Shell ( Face A )","Pass data","Adzopé","Interieur","12 M²","MEDIAWAYS","6.100074","-3.858596"
"48","06-12-2024","05-01-2025","Ancienne Gare , 100 mètres CHR , rive opposée à la boulangerie Bo Pain, 100 mètres de la station Shell ( Face B)","Pass data","Adzopé","Interieur","12 M²","MEDIAWAYS","6.100152","-3.858533"
"49","06-12-2024","05-01-2025","Route du stade ( Face A)","Pass data","Adzopé","Interieur","12 M²","MEDIAWAYS","6.101426","-3.857413"
"50","06-12-2024","05-01-2025","Route de ebimpe au niveau du stade Face anyama	","Pass data","Anyama","Grand Abidjan","12 M²","QUARTZ","5.476875","-4.071463"
"51","06-12-2024","05-01-2025","Route Ebimpé au niveau du stade face N'dotre	","Pass data","Anyama","Grand Abidjan","12 M²","QUARTZ","5.476867","-4.071463"
"52","06-12-2024","05-01-2025","Crf poteau face abobo","Pass data","Anyama","Grand Abidjan","12 M²","QUARTZ","5.48863","-4.05147"
"53","06-12-2024","05-01-2025","Apres rond point sens centre ville","Pass data","Arrah","Interieur","12 M²","MANDINGO","6.6711383","-3.96384"
"54","06-12-2024","05-01-2025","Centre ville face station shell avant le rond point","Pass data","Arrah","Interieur","12 M²","MANDINGO","6.673655","-3.9731367"
"55","06-12-2024","05-01-2025","ASS.09 APRÈS ROND POINT D'ASSINIE DIRECTION PLAGE ASSOUINDE FACE SAMO","Pass data","ASSINIE","Grand Abidjan","12 M²","CONNEXION COM","5.168883","-3.474227"
"56","06-12-2024","05-01-2025","ASS-7 SOUMARAI COTE DROIT DIRECTION ASSOUIDE-SAMO (FACE ASS-8)","Pass data","ASSINIE","Grand Abidjan","12 M²","CONNEXION COM","5.266854","-3.490519"
"57","06-12-2024","05-01-2025","ASS-8 SOUMARAI COTE GAUCHE DIRECTION SAMO-ASSOUIDE (FACE ASS-7)","Pass data","ASSINIE","Grand Abidjan","12 M²","CONNEXION COM","5.142614","-3.311231"
"58","06-12-2024","05-01-2025","ASS-X125 AVANT VILLA BLANCA AXE ROND POINT ASSOUINDÉ VERS ASSINIE MAFIA CÔTÉ DROIT (ASS-X125 BIS)","Pass data","ASSINIE","Grand Abidjan","12 M²","CONNEXION COM","5.150525","-3.365732"
"59","06-12-2024","05-01-2025","ASS-X125 BIS APRES VILLA BLANCA AXE ASSINIE MAFIA VERS ROND POINT CÔTÉ GAUCHE (ASS-X125)","Pass data","ASSINIE","Grand Abidjan","12 M²","CONNEXION COM","5.150525","-3.365732"
"60","06-12-2024","05-01-2025","ASS-P157 BIS KM19 NON LOIN MAISON ZADI KESSIÉ – ROND POINT ASSOUINDÉ VERS ASSINIE MAFIA CÔTÉ GAUCHE (FACE ASS-P157)","Pass data","ASSINIE","Grand Abidjan","12 M²","CONNEXION COM","5.142614","-3.311072"
"61","06-12-2024","05-01-2025","Carrefour marché attecoubé face mosquée ","Pass data","Attécoube","Grand Abidjan","12 M²","PUBLISTAR","5.349062","-4.034547"
"62","06-12-2024","05-01-2025","Banco face Shell Face yop","Pass data","Attécoube","Grand Abidjan","12 M²","QUARTZ","5.358135","-4.050377"
"63","06-12-2024","05-01-2025","Garage FCA face pharmacie agban","Pass data","Attécoube","Grand Abidjan","12 M²","QUARTZ","5.357485","-4.03102"
"64","06-12-2024","05-01-2025","Voie principale Station Texaco Maternité ATTECOUBE face Maternité (PC)","Pass data","Attécoube","Grand Abidjan","12 M²","PUBLISTAR","5.352171","-4.034562"
"65","06-12-2024","05-01-2025","Crf adzope F2","Pass data","Azaguié","Grand Abidjan","12 M²","QUARTZ","5.637739","-4.04661"
"66","06-12-2024","05-01-2025","Crf adzope F1","Pass data","Azaguié","Grand Abidjan","12 M²","QUARTZ","5.637739","-4.04661"
"67","06-12-2024","05-01-2025","Après le marché au niveau de la boulangerie star pain+ face akouai santé**","Pass data","Bingerville","Grand Abidjan","12 M²","EMERGENCE","5.3540573","-3.8791343"
"68","06-12-2024","05-01-2025","AXE CARREFOUR DU MARCHÉ SICOGI 2 FACE SICOGI ","Pass data","Bingerville","Grand Abidjan","12 M²","EMERGENCE","5.355433","-3.886875"
"69","06-12-2024","05-01-2025","Axe principal clôture lycée mami fêtai face EMPT**","Pass data","Bingerville","Grand Abidjan","12 M²","EMERGENCE","5.361028","-3.895593"
"70","06-12-2024","05-01-2025","Entrée Bingerville sur la cote avant careffour Feh Kessé face faya","Pass data","Bingerville","Grand Abidjan","12 M²","EMERGENCE","5.3744517","-3.9169"
"71","06-12-2024","05-01-2025","BINGERVILLE EN REVENANT DE BINGERVILLE A LA CITE LAUREAT","Pass data","Bingerville","Grand Abidjan","12 M²","MELI’S COM","5.374679","-3.9194749"
"72","06-12-2024","05-01-2025","carrefour bonahouin sens Abengourou","Pass data","Bonahouin","Interieur","12 M²","MANDINGO","6.5621049","-3.7605536"
"73","06-12-2024","05-01-2025","Entrée par Abengourou face gare routière avant rond point","Pass data","Bonahouin","Interieur","12 M²","MANDINGO","6.7413239528878","-3.5044552689192"
"74","06-12-2024","05-01-2025","Entrée ville par abidjan quartier St Martin face Abengourou","Pass data","Bondoukou","Interieur","12 M²","EMERGENCE","8.018479","-2.814294"
"75","06-12-2024","05-01-2025","Centre ville face au quartier résidentiel face marché","Pass data","Bondoukou","Interieur","12 M²","EMERGENCE","8.018479","-2.814294"
"76","06-12-2024","05-01-2025","Carrefour honoré de Balzac face bouna","Pass data","Bondoukou","Interieur","12 M²","EMERGENCE","8.056427","-2.811532"
"77","06-12-2024","05-01-2025","Terre plein stade Almami Timité face à la ville","Pass data","Bondoukou","Interieur","12 M²","EMERGENCE","8.030124","-2.788985"
"78","06-12-2024","05-01-2025","Entrée Ville par Dimbokro, rive opposée au terrain municipal (Face B)","Pass data","Bongouanou","Interieur","12 M²","MEDIAWAYS","6.6566","-4.21545"
"79","06-12-2024","05-01-2025","Entrée Ville par Dimbokro, rive opposée au terrain municipal (Face A)","Pass data","Bongouanou","Interieur","12 M²","MEDIAWAYS","6.6566","-4.21545"
"80","06-12-2024","05-01-2025","Carrefour Marché, fin clôture SGBCI, 100 mètres de NSIA Banque (Face A)","Pass data","Bongouanou","Interieur","12 M²","MEDIAWAYS","6.6468","-4.20148"
"81","06-12-2024","05-01-2025","Carrefour Marché, fin clôture SGBCI, 100 mètres de NSIA Banque (Face B","Pass data","Bongouanou","Interieur","12 M²","MEDIAWAYS","6.6468","-4.20148"
"82","06-12-2024","05-01-2025","Centre ville , Rive opposée au siège Orange Bonoua – Station Total , Rue des Banque face NSIA (Face A)","Pass data","Bonoua","Grand Abidjan","12 M²","MEDIAWAYS","5.272783","-3.59239"
"83","06-12-2024","05-01-2025","Centre ville , Rive opposée au siège Orange Bonoua – Station Total , Rue des Banque face NSIA ( Face B)","Pass data","Bonoua","Grand Abidjan","12 M²","MEDIAWAYS","5.272783","-3.59239"
"84","06-12-2024","05-01-2025","Entrée ville face église catholique carrefour hôtel Nirala (Face B)","Pass data","Bonoua","Grand Abidjan","12 M²","MEDIAWAYS","5.257624","-3.610556"
"85","06-12-2024","05-01-2025","Entrée ville face église catholique carrefour hôtel Nirala (Face A)","Pass data","Bonoua","Grand Abidjan","12 M²","MEDIAWAYS","5.257624","-3.610556"
"86","06-12-2024","05-01-2025","Rond point du quartier Coco","Pass data","Bouafle","Interieur","12 M²","EMERGENCE","6.982503","-5.74591"
"87","06-12-2024","05-01-2025","Angle face au service technique de la mairie, face au rond point","Pass data","Bouafle","Interieur","12 M²","EMERGENCE","6.984379","-5.751717"
"88","06-12-2024","05-01-2025","Route de zuénoula clôture du lycée moderne","Pass data","Bouafle","Interieur","12 M²","EMERGENCE","6.97371","-5.72594"
"89","06-12-2024","05-01-2025","Entrée ville nouveau rond point sens aller daloa et zuénoula","Pass data","Bouafle","Interieur","12 M²","EMERGENCE","6.976237","-5.736176"
"90","06-12-2024","05-01-2025","Clôture collège moderne","Pass data","Bouafle","Interieur","12 M²","EMERGENCE","6.993759","-5.75566"
"91","06-12-2024","05-01-2025","Entrée ville collège bandama","Pass data","Bouafle","Interieur","12 M²","EMERGENCE","6.982467","-5.75123"
"92","06-12-2024","05-01-2025","Entrée ville par Yamoussoukro","Pass data","Bouafle","Interieur","12 M²","MANDINGO","6.9765822","-5.7360403"
"93","06-12-2024","05-01-2025","Rond point face a la gendarmerie","Pass data","Bouafle","Interieur","12 M²","MANDINGO","6.982941","-5.751944"
"94","06-12-2024","05-01-2025","Riviera anono carrefour cimetière","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.344017","-3.974503"
"95","06-12-2024","05-01-2025","Marché de Mpouto au niveau du grand terrain de foot","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.327937","-3.954264"
"96","06-12-2024","05-01-2025","Axe carrefour Riviera 3-carrefour Mpouto près de l'institut Britannique face Mpouto DF","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.3334155","-3.9569274"
"97","06-12-2024","05-01-2025","Feh késsé sens aller cité promogim","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.3859917","-3.9128056"
"98","06-12-2024","05-01-2025","Cité SIR Ephrata sens retour cité sir dans le virage face château d'eau ","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.384296","-3.932438"
"99","06-12-2024","05-01-2025","Carrefour abatta sens aller cité sir carrefour abatta","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.3738067","-3.9294417"
"100","06-12-2024","05-01-2025","Axe rd point ancien camp sens aller bld mitterand face au rond-point-Y4**","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.3609917","-3.9500338"
"101","06-12-2024","05-01-2025","Axe Michelle Yackice - hotêl belle côte face à Michelle Yakice","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.3884073","-3.9693374"
"102","06-12-2024","05-01-2025","Axe terminus 81, 82 - Carrefour Pétroivoire au niveau du magazin uno","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.404332","-3.989476"
"103","06-12-2024","05-01-2025","Bld latrille axe sococé - Ena avant carrefour farandole face carrefour ENA","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.364604","-3.9975825"
"104","06-12-2024","05-01-2025","Sortie bretele Latrille pour le Plateau et Adjamé avant Allaba School ","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.355054","-4.004941"
"105","06-12-2024","05-01-2025","Axe carrefour de la Vie-carrefour de l'indenié avant pont du lycée technique face carref de la Vie **","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.3481788","-4.007591"
"106","06-12-2024","05-01-2025","Axe carrefour de la Vie-carrefour de l'indenié avant pont du lycée technique face carref indénié **","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.348161","-4.008139"
"107","06-12-2024","05-01-2025","Lycée technique - clinique la providence - début de pont - face centre ccial ","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.34832","-4.009331"
"108","06-12-2024","05-01-2025","Axe Blokauss - banque mondiale face Blokauss","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.327957","-4.001174"
"109","06-12-2024","05-01-2025","Sortie corniche sens aller sofitel hotel ivoire face venant du plateau","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.3325516666667","-4.011145"
"110","06-12-2024","05-01-2025","Panneau Pyramide aux alentours de Orange village sens Orange CI ==> Hotel du golf","Pass data","Cocody","Grand Abidjan","12 M²","PYRAMIDE MEDIA","5.3315997","-3.9699939"
"111","06-12-2024","05-01-2025","Panneau Le caméléon aux alentours de Orange village sens Hotel du golf ==> Orange CI COCODY ROUTE DU GOLF FACE GOLFE","Pass data","Cocody","Grand Abidjan","12 M²","Cameleon ","5.331713","-3.970319"
"112","06-12-2024","05-01-2025","Bld de france collège moderne de cocody maison du parti pdci -face 1","Pass data","Cocody","Grand Abidjan","12 M²","MEDIAWAYS","5.33467","-3.993874"
"113","06-12-2024","05-01-2025","Carrefour ZOO","Pass data","Cocody","Grand Abidjan","12 M²","PUBLISTAR","5.378633","-4.006777"
"114","06-12-2024","05-01-2025","Route d Attoban cipharm face Riviera (face église)","Pass data","Cocody","Grand Abidjan","12 M²","PUBLISTAR","5.3705498","-3.9814692"
"115","06-12-2024","05-01-2025","Carrefour St JEAN côté centre commercial ","Pass data","Cocody","Grand Abidjan","12 M²","PUBLISTAR","5.336199","-4.003757"
"116","06-12-2024","05-01-2025","Pharmacie des arcades","Pass data","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.40335","-3.975682"
"117","06-12-2024","05-01-2025","Jules vernes faces faya","Pass data","Cocody","Grand Abidjan","12 M²","SELFIE MEDIA","5.374366","-3.920451"
"118","06-12-2024","05-01-2025","Carrefour marché face préfecture","Pass data","Dabakala","Interieur","12 M²","EMERGENCE","8.367163","-4.432721"
"119","06-12-2024","05-01-2025","Entrée ville par kong cité ADO","Pass data","Dabakala","Interieur","12 M²","EMERGENCE","8.36326","-4.427622"
"120","06-12-2024","05-01-2025","Entrée ville par katiola collège anacardier face 2","Pass data","Dabakala","Interieur","12 M²","EMERGENCE","8.371583","-4.4445889"
"121","06-12-2024","05-01-2025","Carrefour marché face hopital général","Pass data","Dabakala","Interieur","12 M²","EMERGENCE","8.367162","-4.432723"
"122","06-12-2024","05-01-2025","Entrée ville par katiola collège anacardier face 1","Pass data","Dabakala","Interieur","12 M²","EMERGENCE","8.37153","-4.444664"
"123","06-12-2024","05-01-2025","Rond point central mairie","Pass data","Dabakala","Interieur","12 M²","EMERGENCE","8.362338","-4.427204"
"124","06-12-2024","05-01-2025","Sortie par san pedro F1","Pass data","Dabou","Grand Abidjan","12 M²","QUARTZ","5.325633","-4.385215"
"125","06-12-2024","05-01-2025","Sortie par san pedro F2","Pass data","Dabou","Grand Abidjan","12 M²","QUARTZ","5.325633","-4.385215"
"126","06-12-2024","05-01-2025","CRF n'gatty face centre ville","Pass data","Dabou","Grand Abidjan","12 M²","QUARTZ","5.322881","-4.360455"
"127","06-12-2024","05-01-2025","CRF n'gatty face Abidjan","Pass data","Dabou","Grand Abidjan","12 M²","QUARTZ","5.322881","-4.360455"
"128","06-12-2024","05-01-2025","Après la mairie au petit marché face à la pharmacie du petit marché","Pass data","Dabou","Grand Abidjan","12 M²","EMERGENCE","5.327588","-4.374903"
"129","06-12-2024","05-01-2025","Marché de Daoukro","Pass data","Daoukro","Interieur","12 M²","EMERGENCE","7.061963","-3.960135"
"130","06-12-2024","05-01-2025","Après gare routière sur la côte face au marché","Pass data","Daoukro","Interieur","12 M²","EMERGENCE","7.063358","-3.960069"
"131","06-12-2024","05-01-2025","Centre ville face entrée par abidjan","Pass data","Daoukro","Interieur","12 M²","EMERGENCE","7.058572","-3.960401"
"132","06-12-2024","05-01-2025","Centre ville sortie ville pour Abidjan face marché central","Pass data","Daoukro","Interieur","12 M²","EMERGENCE","7.0604","-3.962039"
"133","06-12-2024","05-01-2025","Espace publique devant la poste","Pass data","Daoukro","Interieur","12 M²","EMERGENCE","7.0604","-3.962039"
"134","06-12-2024","05-01-2025","Sortie ville, pour Bongouanou face au centre ville","Pass data","Daoukro","Interieur","12 M²","EMERGENCE","7.035686355641","-3.967504472683"
"135","06-12-2024","05-01-2025","Quartier commerce, clôture LONACI, rive opposée à la mairie (Face B)","Pass data","Dimbokro","Interieur","12 M²","MEDIAWAYS","6.64991","-4.70765"
"136","06-12-2024","05-01-2025","Quartier commerce, clôture LONACI, rive opposée à la mairie (Face A)","Pass data","Dimbokro","Interieur","12 M²","MEDIAWAYS","6.64991","-4.70765"
"137","06-12-2024","05-01-2025","Quartier commerce , Carrefour trésor publique ( Face A)","Pass data","Dimbokro","Interieur","12 M²","MEDIAWAYS","6.65101","-4.70617"
"138","06-12-2024","05-01-2025","Quartier commerce , Carrefour trésor publique ( Face B)","Pass data","Dimbokro","Interieur","12 M²","MEDIAWAYS","6.64991","-4.70765"
"139","06-12-2024","05-01-2025","Route de guiglo au niveau du college toure mamadou face guiglo","Pass data","Duékoué","Interieur","12 M²","EMERGENCE","6.729155","-7.347125"
"140","06-12-2024","05-01-2025","Route de guiglo au niveau du college toure mamadou face centre ville","Pass data","Duékoué","Interieur","12 M²","EMERGENCE","6.729155","-7.347125"
"141","06-12-2024","05-01-2025","Rue princesse au niveau de la place publique face agence orange","Pass data","Duékoué","Interieur","12 M²","EMERGENCE","6.743191","-7.344298"
"142","06-12-2024","05-01-2025","Route de Man au niveau de gare AVS et la mosquée face Man","Pass data","Duékoué","Interieur","12 M²","EMERGENCE","6.755079","-7.367789"
"143","06-12-2024","05-01-2025","Route de Man au niveau de gare AVS et la mosquée face duékoué","Pass data","Duékoué","Interieur","12 M²","EMERGENCE","6.7549076","-7.3678001"
"144","06-12-2024","05-01-2025","Entrée ville par daloa au niveau du rond point Guemon près du commissarait face daloa","Pass data","Duékoué","Interieur","12 M²","EMERGENCE","6.747516","-7.335486"
"145","06-12-2024","05-01-2025","Sens retour kong entrée du marché central","Pass data","FERKESSEDOUGOU","Interieur","12 M²","EMERGENCE","10.108879384542","-5.4723402322331"
"146","06-12-2024","05-01-2025","Sortie ville pour bouaké collège Charles Louanga","Pass data","FERKESSEDOUGOU","Interieur","12 M²","EMERGENCE","9.5729140220688","-5.2091479438219"
"147","06-12-2024","05-01-2025","Entrée ville par bouaké collège charles Louanga","Pass data","FERKESSEDOUGOU","Interieur","12 M²","EMERGENCE","9.5839662471542","-5.2023926135683"
"148","06-12-2024","05-01-2025","Entrée ville par Korhogo face Korhogo ","Pass data","FERKESSEDOUGOU","Interieur","12 M²","EMERGENCE","9.592931053942","-5.2022457737366"
"149","06-12-2024","05-01-2025","Entrée ville par ouangolo ancien corridor face centre ville","Pass data","FERKESSEDOUGOU","Interieur","12 M²","EMERGENCE","9.5962845664211","-5.2322762342775"
"150","06-12-2024","05-01-2025","Entrée ville par ouangolo ancien corridor face ouangolo","Pass data","FERKESSEDOUGOU","Interieur","12 M²","EMERGENCE","9.6037127293631","-5.1907549648096"
"151","06-12-2024","05-01-2025","sodeci rue des maquis","Pass data","Grand Bassam","Grand Abidjan","12 M²","PUBLISTAR","5.213334","-3.737087"
"152","06-12-2024","05-01-2025","Petit marché SOGB","Pass data","Grand Bereby","Interieur","12 M²","MANDINGO","4.6676133","-7.0836311"
"153","06-12-2024","05-01-2025","Entrée SOGB","Pass data","Grand Bereby","Interieur","12 M²","MANDINGO","4.6701284","-7.0790637"
"154","06-12-2024","05-01-2025","Marché face carrefour","Pass data","Grand Lahou","Interieur","12 M²","EMERGENCE","5.2496","-5.003302"
"155","06-12-2024","05-01-2025","Marché face carrefour F2","Pass data","Grand Lahou","Interieur","12 M²","EMERGENCE","5.2496","-5.003302"
"156","06-12-2024","05-01-2025","Centre ville mairie face mairie","Pass data","Grand Lahou","Interieur","12 M²","EMERGENCE","5.135649","-5.028321"
"157","06-12-2024","05-01-2025","Centre ville Mairie face au rond point","Pass data","Grand Lahou","Interieur","12 M²","EMERGENCE","5.135649","-5.028321"
"158","06-12-2024","05-01-2025","Entrée ville après la gare face sortie ville (face B)","Pass data","Grand Lahou","Interieur","12 M²","EMERGENCE","5.134285","-5.03814"
